Date,Store,Category,Sales
2015-06-29,Bangalore,Clothing,1835
2015-07-01,Delhi,Electronics,2201
2015-07-02,Delhi,Furniture,2099
2015-07-03,Hyderabad,Furniture,1723
2015-07-04,Hyderabad,Furniture,2006
2015-07-05,Bangalore,Clothing,1639
2015-07-07,Bangalore,Furniture,1706
2015-07-08,Mumbai,Groceries,1651
2015-07-11,Hyderabad,Electronics,1674
2015-07-12,Mumbai,Furniture,1844
2015-07-13,Chennai,Clothing,2301
2015-07-14,Chennai,Electronics,1399
2015-07-15,Chennai,Groceries,1906
2015-07-16,Mumbai,Electronics,1939
2015-07-18,Mumbai,Electronics,1873
2015-07-19,Hyderabad,Electronics,2014
2015-07-23,Hyderabad,Clothing,1800
2015-07-24,Bangalore,Electronics,1243
2015-07-25,Delhi,Furniture,1807
2015-07-27,Delhi,Furniture,1538
2015-07-28,Hyderabad,Furniture,2495
2015-07-29,Bangalore,Clothing,2125
2015-07-30,Bangalore,Furniture,1404
2015-07-31,Bangalore,Electronics,1853
2015-08-01,Mumbai,Electronics,2004
2015-08-02,Mumbai,Clothing,1118
2015-08-03,Chennai,Groceries,1590
2015-08-04,Mumbai,Electronics,1604
2015-08-05,Delhi,Furniture,1184
2015-08-06,Delhi,Electronics,1680
2015-08-07,Delhi,Electronics,1901
2015-08-08,Delhi,Electronics,2019
2015-08-09,Chennai,Groceries,1492
2015-08-10,Delhi,Furniture,2317
2015-08-11,Hyderabad,Clothing,949
2015-08-12,Hyderabad,Electronics,1673
2015-08-13,Hyderabad,Furniture,1143
2015-08-15,Bangalore,Clothing,1410
2015-08-16,Chennai,Electronics,1719
2015-08-17,Hyderabad,Groceries,1528
2015-08-18,Hyderabad,Furniture,1319
2015-08-19,Delhi,Clothing,1338
2015-08-20,Hyderabad,Groceries,2146
2015-08-21,Delhi,Furniture,1700
2015-08-22,Delhi,Electronics,1056
2015-08-23,Bangalore,Furniture,1732
2015-08-24,Mumbai,Groceries,1508
2015-08-25,Delhi,Groceries,1568
2015-08-26,Delhi,Electronics,1812
2015-08-27,Bangalore,Electronics,1921
2015-08-28,Delhi,Clothing,1309
2015-08-29,Chennai,Electronics,1558
2015-08-31,Chennai,Groceries,1746
2015-09-01,Hyderabad,Groceries,1430
2015-09-02,Mumbai,Furniture,1508
2015-09-04,Delhi,Clothing,1468
2015-09-05,Bangalore,Electronics,2011
2015-09-06,Chennai,Electronics,2217
2015-09-07,Hyderabad,Furniture,1613
2015-09-08,Delhi,Groceries,1470
2015-09-09,Chennai,Clothing,1021
2015-09-10,Chennai,Groceries,1271
2015-09-12,Delhi,Electronics,1285
2015-09-13,Bangalore,Clothing,1317
2015-09-14,Hyderabad,Groceries,1972
2015-09-15,Chennai,Furniture,1508
2015-09-16,Chennai,Furniture,1535
2015-09-17,Mumbai,Electronics,1297
2015-09-18,Delhi,Furniture,1853
2015-09-19,Mumbai,Furniture,1436
2015-09-21,Hyderabad,Furniture,1025
2015-09-22,Chennai,Furniture,1481
2015-09-23,Delhi,Groceries,1334
2015-09-24,Chennai,Electronics,2005
2015-09-25,Mumbai,Electronics,2053
2015-09-27,Hyderabad,Furniture,1163
2015-09-28,Delhi,Groceries,1417
2015-09-29,Delhi,Clothing,1255
2015-09-30,Hyderabad,Electronics,1565
2015-10-01,Mumbai,Electronics,1469
2015-10-02,Mumbai,Groceries,1651
2015-10-03,Mumbai,Clothing,1871
2015-10-04,Chennai,Clothing,1247
2015-10-05,Bangalore,Groceries,1865
2015-10-06,Mumbai,Groceries,1348
2015-10-07,Bangalore,Clothing,2211
2015-10-08,Bangalore,Electronics,2053
2015-10-09,Delhi,Furniture,1533
2015-10-10,Hyderabad,Electronics,1277
2015-10-11,Chennai,Groceries,1220
2015-10-13,Chennai,Clothing,1557
2015-10-14,Delhi,Furniture,1845
2015-10-15,Mumbai,Clothing,2228
2015-10-16,Bangalore,Furniture,1335
2015-10-17,Hyderabad,Electronics,1197
2015-10-18,Delhi,Electronics,1624
2015-10-19,Chennai,Clothing,1910
2015-10-20,Mumbai,Clothing,1284
2015-10-22,Hyderabad,Groceries,1978
2015-10-23,Bangalore,Clothing,1077
2015-10-24,Hyderabad,Clothing,1637
2015-10-25,Chennai,Electronics,1404
2015-10-26,Chennai,Clothing,1604
2015-10-27,Hyderabad,Groceries,1779
2015-10-28,Hyderabad,Electronics,1633
2015-10-30,Mumbai,Groceries,1416
2015-10-31,Chennai,Groceries,1994
2015-11-01,Delhi,Electronics,1848
2015-11-02,Mumbai,Furniture,2002
2015-11-03,Mumbai,Groceries,1825
2015-11-04,Mumbai,Clothing,1992
2015-11-05,Delhi,Groceries,1631
2015-11-06,Hyderabad,Electronics,1519
2015-11-07,Chennai,Electronics,1979
2015-11-08,Bangalore,Electronics,2088
2015-11-09,Bangalore,Groceries,1475
2015-11-10,Chennai,Furniture,1577
2015-11-11,Delhi,Clothing,1701
2015-11-12,Bangalore,Electronics,2235
2015-11-13,Mumbai,Furniture,1918
2015-11-15,Chennai,Electronics,1722
2015-11-16,Mumbai,Clothing,1676
2015-11-17,Bangalore,Clothing,1398
2015-11-18,Chennai,Furniture,1718
2015-11-19,Delhi,Clothing,1662
2015-11-20,Chennai,Electronics,1641
2015-11-21,Delhi,Furniture,1627
2015-11-22,Mumbai,Groceries,2191
2015-11-23,Chennai,Groceries,1640
2015-11-24,Hyderabad,Furniture,1764
2015-11-25,Hyderabad,Groceries,1732
2015-11-26,Hyderabad,Clothing,1598
2015-11-28,Hyderabad,Clothing,1769
2015-11-29,Delhi,Furniture,1773
2015-11-30,Chennai,Electronics,1492
2015-12-01,Mumbai,Furniture,1938
2015-12-03,Hyderabad,Furniture,1946
2015-12-05,Mumbai,Electronics,2050
2015-12-06,Hyderabad,Electronics,2125
2015-12-07,Delhi,Electronics,2167
2015-12-08,Mumbai,Clothing,1947
2015-12-09,Chennai,Groceries,1726
2015-12-10,Chennai,Clothing,1634
2015-12-11,Delhi,Clothing,2305
2015-12-12,Bangalore,Furniture,2231
2015-12-13,Delhi,Electronics,2194
2015-12-14,Hyderabad,Electronics,2243
2015-12-15,Bangalore,Groceries,1951
2015-12-16,Hyderabad,Groceries,1812
2015-12-17,Chennai,Furniture,1705
2015-12-18,Mumbai,Electronics,1673
2015-12-19,Hyderabad,Groceries,2363
2015-12-20,Chennai,Groceries,1852
2015-12-21,Delhi,Electronics,2316
2015-12-22,Hyderabad,Clothing,1943
2015-12-24,Mumbai,Electronics,1671
2015-12-25,Hyderabad,Groceries,1823
2015-12-26,Chennai,Furniture,2425
2015-12-27,Hyderabad,Groceries,1674
2015-12-28,Mumbai,Electronics,2635
2015-12-29,Hyderabad,Groceries,1747
2015-12-30,Hyderabad,Furniture,2224
2015-12-31,Chennai,Furniture,1956
2016-01-01,Bangalore,Groceries,2153
2016-01-02,Hyderabad,Groceries,1868
2016-01-03,Bangalore,Furniture,2220
2016-01-04,Delhi,Furniture,1902
2016-01-06,Bangalore,Clothing,2285
2016-01-07,Delhi,Furniture,2059
2016-01-08,Chennai,Groceries,2755
2016-01-09,Hyderabad,Electronics,2550
2016-01-10,Chennai,Groceries,2759
2016-01-11,Delhi,Groceries,2045
2016-01-12,Chennai,Clothing,2290
2016-01-13,Chennai,Clothing,1463
2016-01-16,Chennai,Furniture,2296
2016-01-17,Bangalore,Groceries,2237
2016-01-18,Delhi,Groceries,2269
2016-01-19,Mumbai,Electronics,1436
2016-01-20,Hyderabad,Groceries,2326
2016-01-21,Chennai,Groceries,2395
2016-01-22,Bangalore,Clothing,2651
2016-01-23,Mumbai,Clothing,2360
2016-01-24,Delhi,Clothing,2210
2016-01-25,Chennai,Clothing,2581
2016-01-26,Mumbai,Clothing,1542
2016-01-29,Hyderabad,Electronics,2239
2016-01-30,Hyderabad,Clothing,1590
2016-02-03,Delhi,Electronics,2499
2016-02-06,Bangalore,Clothing,2466
2016-02-07,Delhi,Groceries,2776
2016-02-09,Bangalore,Furniture,2147
2016-02-10,Chennai,Electronics,2251
2016-02-11,Hyderabad,Groceries,2315
2016-02-12,Hyderabad,Furniture,2216
2016-02-13,Bangalore,Electronics,2387
2016-02-14,Hyderabad,Clothing,2885
2016-02-15,Chennai,Clothing,2253
2016-02-16,Chennai,Groceries,2286
2016-02-18,Delhi,Clothing,2380
2016-02-19,Hyderabad,Electronics,2034
2016-02-20,Chennai,Clothing,2414
2016-02-21,Delhi,Clothing,2403
2016-02-24,Delhi,Electronics,2727
2016-02-25,Delhi,Groceries,2403
2016-02-26,Bangalore,Groceries,2100
2016-02-27,Mumbai,Clothing,2040
2016-02-28,Mumbai,Electronics,3013
2016-02-29,Hyderabad,Groceries,2385
2016-03-01,Delhi,Groceries,2780
2016-03-02,Hyderabad,Clothing,1987
2016-03-03,Chennai,Electronics,3291
2016-03-04,Delhi,Groceries,2767
2016-03-05,Chennai,Furniture,2423
2016-03-06,Bangalore,Furniture,2408
2016-03-07,Delhi,Clothing,2720
2016-03-08,Hyderabad,Clothing,2703
2016-03-09,Hyderabad,Clothing,2554
2016-03-10,Delhi,Clothing,2503
2016-03-11,Hyderabad,Groceries,2668
2016-03-12,Delhi,Electronics,1977
2016-03-13,Mumbai,Clothing,2388
2016-03-14,Hyderabad,Clothing,2005
2016-03-15,Delhi,Groceries,2681
2016-03-16,Delhi,Clothing,2297
2016-03-17,Hyderabad,Clothing,2028
2016-03-18,Mumbai,Electronics,2261
2016-03-19,Hyderabad,Furniture,2544
2016-03-20,Delhi,Clothing,2438
2016-03-21,Mumbai,Groceries,2148
2016-03-22,Chennai,Electronics,1988
2016-03-23,Bangalore,Groceries,2522
2016-03-24,Hyderabad,Electronics,2325
2016-03-25,Delhi,Electronics,2422
2016-03-26,Mumbai,Clothing,2452
2016-03-27,Mumbai,Clothing,2629
2016-03-29,Hyderabad,Furniture,2543
2016-03-30,Mumbai,Furniture,2403
2016-04-01,Delhi,Clothing,2331
2016-04-02,Chennai,Furniture,1940
2016-04-03,Hyderabad,Clothing,2760
2016-04-05,Mumbai,Furniture,3029
2016-04-06,Mumbai,Electronics,3117
2016-04-07,Bangalore,Clothing,2080
2016-04-08,Chennai,Clothing,2332
2016-04-09,Delhi,Furniture,3186
2016-04-10,Hyderabad,Clothing,2420
2016-04-12,Chennai,Clothing,1976
2016-04-13,Delhi,Electronics,2478
2016-04-15,Mumbai,Electronics,2819
2016-04-16,Hyderabad,Groceries,2250
2016-04-17,Chennai,Clothing,2314
2016-04-18,Delhi,Clothing,2093
2016-04-20,Bangalore,Electronics,1859
2016-04-21,Hyderabad,Clothing,2407
2016-04-22,Bangalore,Clothing,2886
2016-04-23,Bangalore,Furniture,2539
2016-04-24,Delhi,Groceries,2842
2016-04-25,Mumbai,Electronics,2754
2016-04-26,Chennai,Furniture,2268
2016-04-27,Delhi,Electronics,2205
2016-04-28,Hyderabad,Furniture,2216
2016-04-29,Bangalore,Groceries,1917
2016-04-30,Hyderabad,Furniture,2442
2016-05-01,Delhi,Electronics,1378
2016-05-04,Bangalore,Groceries,2391
2016-05-05,Delhi,Electronics,2567
2016-05-06,Hyderabad,Electronics,2309
2016-05-08,Hyderabad,Groceries,2436
2016-05-09,Bangalore,Clothing,2022
2016-05-10,Chennai,Furniture,2178
2016-05-12,Chennai,Furniture,1979
2016-05-13,Mumbai,Clothing,2135
2016-05-14,Chennai,Groceries,2413
2016-05-15,Hyderabad,Clothing,2024
2016-05-16,Hyderabad,Furniture,1876
2016-05-18,Delhi,Electronics,2071
2016-05-19,Delhi,Furniture,2835
2016-05-20,Mumbai,Electronics,2331
2016-05-21,Chennai,Furniture,2531
2016-05-22,Mumbai,Groceries,1979
2016-05-23,Bangalore,Groceries,1777
2016-05-24,Bangalore,Groceries,1883
2016-05-25,Delhi,Electronics,2220
2016-05-26,Bangalore,Clothing,1651
2016-05-28,Hyderabad,Electronics,2074
2016-05-29,Bangalore,Clothing,1853
2016-05-31,Chennai,Clothing,2336
2016-06-01,Bangalore,Clothing,2013
2016-06-02,Bangalore,Electronics,2233
2016-06-03,Chennai,Furniture,1666
2016-06-04,Bangalore,Groceries,2227
2016-06-05,Hyderabad,Furniture,2458
2016-06-06,Delhi,Electronics,2078
2016-06-07,Chennai,Clothing,1817
2016-06-09,Bangalore,Groceries,1802
2016-06-10,Delhi,Furniture,1752
2016-06-11,Mumbai,Electronics,2204
2016-06-12,Mumbai,Electronics,1958
2016-06-13,Hyderabad,Electronics,2361
2016-06-14,Delhi,Groceries,1867
2016-06-15,Chennai,Furniture,1897
2016-06-16,Delhi,Groceries,1830
2016-06-17,Delhi,Groceries,1663
2016-06-18,Mumbai,Clothing,2244
2016-06-19,Hyderabad,Furniture,2655
2016-06-20,Hyderabad,Clothing,1885
2016-06-22,Delhi,Groceries,1776
2016-06-23,Bangalore,Furniture,1796
2016-06-25,Chennai,Furniture,1784
2016-06-26,Chennai,Groceries,1824
2016-06-27,Hyderabad,Furniture,1627
2016-06-28,Mumbai,Electronics,2088
2016-06-29,Hyderabad,Clothing,1979
2016-07-01,Delhi,Clothing,1482
2016-07-02,Mumbai,Groceries,2209
2016-07-03,Mumbai,Electronics,1759
2016-07-05,Delhi,Clothing,1781
2016-07-06,Delhi,Groceries,2168
2016-07-07,Hyderabad,Electronics,1436
2016-07-08,Mumbai,Groceries,1631
2016-07-09,Hyderabad,Clothing,1699
2016-07-10,Delhi,Electronics,1233
2016-07-11,Bangalore,Clothing,1475
2016-07-12,Mumbai,Groceries,2064
2016-07-14,Bangalore,Clothing,2031
2016-07-15,Chennai,Groceries,1573
2016-07-18,Hyderabad,Electronics,2029
2016-07-19,Chennai,Furniture,2078
2016-07-20,Delhi,Clothing,2075
2016-07-21,Chennai,Clothing,2231
2016-07-22,Mumbai,Furniture,1876
2016-07-24,Bangalore,Clothing,1689
2016-07-25,Chennai,Clothing,1219
2016-07-26,Mumbai,Electronics,2008
2016-07-27,Hyderabad,Groceries,1208
2016-07-29,Chennai,Groceries,2036
2016-07-30,Hyderabad,Electronics,1847
2016-07-31,Bangalore,Electronics,2433
2016-08-01,Delhi,Groceries,977
2016-08-02,Mumbai,Electronics,1542
2016-08-04,Hyderabad,Electronics,1163
2016-08-05,Delhi,Groceries,1220
2016-08-06,Bangalore,Electronics,1313
2016-08-07,Hyderabad,Furniture,1237
2016-08-08,Hyderabad,Furniture,1534
2016-08-10,Bangalore,Furniture,1662
2016-08-11,Bangalore,Clothing,1761
2016-08-12,Chennai,Groceries,1741
2016-08-13,Mumbai,Electronics,1443
2016-08-14,Chennai,Furniture,1652
2016-08-15,Mumbai,Clothing,1877
2016-08-16,Bangalore,Groceries,1700
2016-08-17,Mumbai,Clothing,2124
2016-08-19,Mumbai,Furniture,2082
2016-08-20,Delhi,Groceries,819
2016-08-21,Delhi,Clothing,1595
2016-08-22,Bangalore,Groceries,1469
2016-08-24,Bangalore,Clothing,1325
2016-08-25,Delhi,Electronics,1685
2016-08-26,Mumbai,Electronics,1024
2016-08-27,Chennai,Clothing,1688
2016-08-28,Delhi,Furniture,1335
2016-08-30,Delhi,Groceries,1698
2016-09-01,Hyderabad,Furniture,1816
2016-09-02,Chennai,Clothing,1209
2016-09-03,Chennai,Electronics,1475
2016-09-04,Bangalore,Clothing,1766
2016-09-05,Mumbai,Clothing,1608
2016-09-06,Delhi,Electronics,1627
2016-09-07,Hyderabad,Furniture,1832
2016-09-09,Mumbai,Electronics,1314
2016-09-10,Hyderabad,Furniture,1672
2016-09-11,Delhi,Clothing,1455
2016-09-12,Mumbai,Electronics,1836
2016-09-13,Chennai,Groceries,1610
2016-09-14,Chennai,Groceries,1312
2016-09-16,Delhi,Electronics,1229
2016-09-18,Mumbai,Electronics,1080
2016-09-20,Bangalore,Clothing,1596
2016-09-21,Hyderabad,Clothing,1450
2016-09-22,Bangalore,Electronics,1729
2016-09-23,Bangalore,Furniture,1653
2016-09-24,Chennai,Furniture,1899
2016-09-26,Bangalore,Groceries,1605
2016-09-28,Delhi,Clothing,1337
2016-09-29,Delhi,Groceries,1478
2016-09-30,Chennai,Groceries,1824
2016-10-04,Mumbai,Groceries,1535
2016-10-05,Delhi,Electronics,1376
2016-10-06,Delhi,Electronics,1799
2016-10-07,Hyderabad,Furniture,1550
2016-10-09,Mumbai,Clothing,1879
2016-10-11,Delhi,Furniture,1580
2016-10-12,Bangalore,Electronics,1546
2016-10-13,Mumbai,Groceries,1636
2016-10-14,Chennai,Clothing,909
2016-10-15,Mumbai,Clothing,1466
2016-10-16,Mumbai,Clothing,1904
2016-10-17,Delhi,Furniture,1946
2016-10-19,Chennai,Groceries,1843
2016-10-22,Hyderabad,Clothing,1470
2016-10-23,Hyderabad,Furniture,1599
2016-10-24,Delhi,Electronics,1867
2016-10-26,Chennai,Clothing,1529
2016-10-27,Hyderabad,Groceries,1857
2016-10-28,Bangalore,Electronics,1326
2016-10-29,Hyderabad,Groceries,1543
2016-10-30,Delhi,Clothing,1865
2016-10-31,Hyderabad,Clothing,1725
2016-11-01,Delhi,Electronics,1610
2016-11-02,Chennai,Clothing,1296
2016-11-03,Chennai,Groceries,1843
2016-11-04,Chennai,Groceries,1276
2016-11-05,Bangalore,Furniture,1686
2016-11-07,Delhi,Furniture,1929
2016-11-08,Mumbai,Groceries,1142
2016-11-09,Bangalore,Groceries,1810
2016-11-10,Delhi,Electronics,1654
2016-11-11,Hyderabad,Furniture,1367
2016-11-13,Chennai,Electronics,1602
2016-11-16,Chennai,Furniture,1562
2016-11-17,Bangalore,Furniture,1778
2016-11-18,Hyderabad,Furniture,1572
2016-11-19,Chennai,Groceries,1588
2016-11-20,Delhi,Groceries,2047
2016-11-21,Hyderabad,Electronics,2078
2016-11-22,Chennai,Clothing,1237
2016-11-23,Mumbai,Clothing,1974
2016-11-24,Chennai,Furniture,2169
2016-11-25,Bangalore,Clothing,2217
2016-11-26,Hyderabad,Furniture,1906
2016-11-27,Bangalore,Electronics,1432
2016-11-28,Mumbai,Clothing,1938
2016-12-01,Hyderabad,Electronics,2114
2016-12-02,Mumbai,Clothing,1758
2016-12-05,Delhi,Electronics,2560
2016-12-06,Mumbai,Electronics,2372
2016-12-07,Hyderabad,Clothing,2212
2016-12-08,Hyderabad,Furniture,2293
2016-12-09,Chennai,Furniture,2191
2016-12-11,Chennai,Electronics,2269
2016-12-12,Mumbai,Clothing,1589
2016-12-13,Mumbai,Electronics,2059
2016-12-14,Mumbai,Clothing,1975
2016-12-15,Mumbai,Electronics,2023
2016-12-16,Delhi,Groceries,1861
2016-12-17,Delhi,Furniture,2156
2016-12-18,Mumbai,Groceries,1754
2016-12-19,Hyderabad,Furniture,1839
2016-12-20,Chennai,Electronics,1803
2016-12-21,Bangalore,Groceries,2259
2016-12-22,Chennai,Furniture,1996
2016-12-23,Bangalore,Clothing,1861
2016-12-24,Bangalore,Electronics,1887
2016-12-25,Mumbai,Electronics,2001
2016-12-26,Bangalore,Clothing,2486
2016-12-27,Mumbai,Clothing,1629
2016-12-28,Delhi,Furniture,2202
2016-12-30,Bangalore,Furniture,1735
2016-12-31,Hyderabad,Clothing,2440
2017-01-01,Mumbai,Electronics,2411
2017-01-02,Bangalore,Clothing,2097
2017-01-03,Chennai,Furniture,1692
2017-01-04,Delhi,Furniture,2318
2017-01-05,Delhi,Furniture,2236
2017-01-06,Bangalore,Electronics,1940
2017-01-07,Delhi,Clothing,1936
2017-01-08,Chennai,Clothing,2510
2017-01-09,Hyderabad,Furniture,1663
2017-01-11,Delhi,Furniture,2193
2017-01-12,Hyderabad,Furniture,2399
2017-01-13,Chennai,Groceries,2161
2017-01-14,Mumbai,Groceries,2337
2017-01-15,Mumbai,Groceries,2027
2017-01-16,Hyderabad,Furniture,2235
2017-01-18,Hyderabad,Clothing,2295
2017-01-19,Mumbai,Electronics,2364
2017-01-20,Chennai,Clothing,1971
2017-01-21,Hyderabad,Groceries,2072
2017-01-22,Mumbai,Clothing,2077
2017-01-24,Hyderabad,Groceries,2657
2017-01-25,Hyderabad,Groceries,2143
2017-01-26,Mumbai,Electronics,1906
2017-01-27,Chennai,Electronics,2412
2017-01-28,Mumbai,Groceries,2653
2017-01-29,Mumbai,Groceries,1871
2017-01-30,Hyderabad,Clothing,2841
2017-01-31,Bangalore,Groceries,2374
2017-02-01,Bangalore,Furniture,2743
2017-02-03,Mumbai,Furniture,2724
2017-02-04,Hyderabad,Furniture,2399
2017-02-06,Delhi,Groceries,2509
2017-02-07,Delhi,Electronics,2760
2017-02-09,Chennai,Furniture,2105
2017-02-10,Hyderabad,Groceries,2671
2017-02-11,Mumbai,Clothing,2378
2017-02-13,Hyderabad,Clothing,2471
2017-02-15,Hyderabad,Groceries,2890
2017-02-16,Chennai,Groceries,2023
2017-02-17,Bangalore,Electronics,1916
2017-02-19,Chennai,Groceries,2753
2017-02-20,Hyderabad,Furniture,2200
2017-02-21,Bangalore,Electronics,2472
2017-02-22,Hyderabad,Clothing,2398
2017-02-24,Hyderabad,Clothing,2688
2017-02-25,Hyderabad,Groceries,2394
2017-02-26,Delhi,Clothing,2361
2017-02-27,Chennai,Furniture,2502
2017-02-28,Mumbai,Groceries,2649
2017-03-01,Chennai,Furniture,2212
2017-03-03,Hyderabad,Furniture,2934
2017-03-04,Chennai,Groceries,2072
2017-03-05,Hyderabad,Clothing,2583
2017-03-07,Hyderabad,Electronics,2709
2017-03-09,Chennai,Furniture,2988
2017-03-10,Chennai,Electronics,2017
2017-03-11,Delhi,Electronics,2426
2017-03-12,Delhi,Electronics,2630
2017-03-13,Delhi,Electronics,2294
